ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q1,Từ 'アイドル' có nghĩa là gì?,Xuất phát,"Chặt đổ, đốn ngã, đánh gục",Thần tượng,Đồ chơi xếp hình,C,"A. Xuất phát (出発 (しゅっぱつ)), B. Chặt đổ, đốn ngã, đánh gục (倒す (たおす)), C. Thần tượng (アイドル), D. Đồ chơi xếp hình (パズル)",彼女は人気のアイドルです。(Cô ấy là thần tượng được yêu thích.)
Q2,Từ '出発' có nghĩa là gì?,Đồ chơi xếp hình,Thần tượng,"Dự định, kế hoạch",Xuất phát,D,"A. Đồ chơi xếp hình (パズル), B. Thần tượng (アイドル), C. Dự định, kế hoạch (予定 (よてい)), D. Xuất phát (出発 (しゅっぱつ))",８時に出発します。(Xuất phát lúc 8 giờ.)
Q3,Từ '油' có nghĩa là gì?,Dầu,"Khá ~, tương đối ~",Dữ liệu,Đầy đủ,A,"A. Dầu (油 (あぶら)), B. Khá ~, tương đối ~ (結構 (けっこう)), C. Dữ liệu (データ), D. Đầy đủ (ちゃんと)",油で野菜を炒めます。(Xào rau bằng dầu.)
Q4,Từ '僕' có nghĩa là gì?,Hẹn giờ,Căng thẳng,"Tôi, tớ (đại từ nam giới)",Chữa khỏi,C,"A. Hẹn giờ (タイマー), B. Căng thẳng (緊張する (きんちょうする)), C. Tôi, tớ (đại từ nam giới) (僕 (ぼく)), D. Chữa khỏi (治す (なおす))",僕は学生です。(Tớ là học sinh.)
Q5,Từ 'かかる' có nghĩa là gì?,Quyết định (cái gì đó),"Khỏi (bệnh, ốm)","Ấm lên, nóng lên",Được treo,D,"A. Quyết định (cái gì đó) (決めます (きめます)), B. Khỏi (bệnh, ốm) (治る (なおる)), C. Ấm lên, nóng lên (暖まる (あたたまる)), D. Được treo (かかる)",壁に絵がかかっています。(Bức tranh được treo trên tường.)
Q6,Từ '消す' có nghĩa là gì?,Tắt / xóa,Thần tượng,Phong cảnh,"Làm khô, hong khô",A,"A. Tắt / xóa (消す (けす)), B. Thần tượng (アイドル), C. Phong cảnh (景色 (けしき)), D. Làm khô, hong khô (乾かす (かわかす))",テレビを消します。(Tắt tivi.)
Q7,Từ '黄色' có nghĩa là gì?,Làm bẩn,Đầy đủ,Treo lên,Màu vàng,D,"A. Làm bẩn (汚す (よごす)), B. Đầy đủ (ちゃんと), C. Treo lên (かける), D. Màu vàng (黄色 (きいろ))",黄色の花が咲きました。(Bông hoa màu vàng đã nở.)
Q8,Từ '破る' có nghĩa là gì?,Phong cảnh,Làm rách,Trang trí,"Tôi, tớ (đại từ nam giới)",B,"A. Phong cảnh (景色 (けしき)), B. Làm rách (破る (やぶる)), C. Trang trí (飾る (かざる)), D. Tôi, tớ (đại từ nam giới) (僕 (ぼく))",紙を破ってしまいました。(Tôi lỡ làm rách tờ giấy.)
Q9,Từ '飾る' có nghĩa là gì?,Trang trí,Học,Vàng (tính từ),Bán,A,"A. Trang trí (飾る (かざる)), B. Học (勉強します (べんきょうします)), C. Vàng (tính từ) (黄色い (きいろい)), D. Bán (売る (うる))",部屋に花を飾ります。(Trang trí hoa trong phòng.)
Q10,Từ '売る' có nghĩa là gì?,Được thay đổi,Bán,Tối nay,"Tôi, tớ (đại từ nam giới)",B,"A. Được thay đổi (変わる (かわる)), B. Bán (売る (うる)), C. Tối nay (今晩 (こんばん)), D. Tôi, tớ (đại từ nam giới) (僕 (ぼく))",古い車を売ります。(Bán chiếc xe cũ.)
Q11,Từ '発売' có nghĩa là gì?,Chữ Hán,"Côn trùng, con sâu",Được thay đổi,Mở bán,D,"A. Chữ Hán (漢字 (かんじ)), B. Côn trùng, con sâu (虫 (むし)), C. Được thay đổi (変わる (かわる)), D. Mở bán (発売 (はつばい))",新しいゲームが発売されました。(Game mới đã được mở bán.)
Q12,Từ '台風' có nghĩa là gì?,(cái gì đó) Được quyết định,Gió,Được xây dựng,Bão,D,"A. (cái gì đó) Được quyết định (決まります (きまります)), B. Gió (風 (かぜ)), C. Được xây dựng (建つ (たつ)), D. Bão (台風 (たいふう))",台風が来ています。(Bão đang đến.)
Q13,Từ '棚' có nghĩa là gì?,"Tủ, giá...",Dầu,Dán,Quyết định (cái gì đó),A,"A. Tủ, giá... (棚 (たな)), B. Dầu (油 (あぶら)), C. Dán (貼る (はる)), D. Quyết định (cái gì đó) (決めます (きめます))",本を棚に置きます。(Đặt sách lên giá.)
