ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q1,Từ '外国語' có nghĩa là gì?,Ngoại ngữ,"Đường, đường ăn",Nước ngoài,Đôi môi,A,"A. Ngoại ngữ (外国語 (がいこくご)), B. Đường, đường ăn (砂糖 (さとう)), C. Nước ngoài (外国 (がいこく)), D. Đôi môi (くちびる)",外国語を勉強するのは楽しいです。(Việc học ngoại ngữ rất vui.)
Q2,Từ '外国' có nghĩa là gì?,Đất nước,Độ C,"Cắt, cứa; ngắt (nguồn điện)",Nước ngoài,D,"A. Đất nước (国 (くに)), B. Độ C (〜度 (〜ど)), C. Cắt, cứa; ngắt (nguồn điện) (切ります (きります)), D. Nước ngoài (外国 (がいこく))",外国へ旅行に行きます。(Đi du lịch nước ngoài.)
Q3,Từ '強い' có nghĩa là gì?,Quan trọng,"Đường, đường ăn","Mạnh, mạnh mẽ",Cát,C,"A. Quan trọng (大切 (たいせつ)), B. Đường, đường ăn (砂糖 (さとう)), C. Mạnh, mạnh mẽ (強い (つよい)), D. Cát (砂 (すな))",今日は風が強いです。(Hôm nay gió mạnh.)
Q4,Từ '〜度' có nghĩa là gì?,Dày,"Sống, sinh sống",Độ C,"Nghiêm túc, chăm chỉ",C,"A. Dày (厚い (あつい)), B. Sống, sinh sống (住みます (すみます)), C. Độ C (〜度 (〜ど)), D. Nghiêm túc, chăm chỉ (真面目 (まじめ))",今日の気温は30度です。(Nhiệt độ hôm nay là 30 độ C.)
Q5,Từ '幸せ' có nghĩa là gì?,Hạn chót,Hạnh phúc,Độ C,Tóc mái,B,"A. Hạn chót (締め切り (しめきり)), B. Hạnh phúc (幸せ (しあわせ)), C. Độ C (〜度 (〜ど)), D. Tóc mái (前髪 (まえがみ))",家族と一緒にいて幸せです。(Tôi hạnh phúc khi ở cùng gia đình.)
Q6,Từ '気持ち' có nghĩa là gì?,"Hàng xóm, khu lân cận",Quan trọng,Buồn bã,"Cảm xúc, tâm trạng",D,"A. Hàng xóm, khu lân cận (近所 (きんじょ)), B. Quan trọng (大切 (たいせつ)), C. Buồn bã (悲しい (かなしい)), D. Cảm xúc, tâm trạng (気持ち (きもち))",今日は気持ちがいいです。(Hôm nay tâm trạng rất tốt.)
Q7,Từ '壁' có nghĩa là gì?,Buồn bã,Bức tường,Quốc tế,Ngoại ngữ,B,"A. Buồn bã (悲しい (かなしい)), B. Bức tường (壁 (かべ)), C. Quốc tế (国際 (こくさい)), D. Ngoại ngữ (外国語 (がいこくご))",壁にカレンダーを貼ります。(Dán lịch lên tường.)
Q8,Từ '辺' có nghĩa là gì?,"Khu vực, vùng",Nước ngoài,Cắt ~,Tiền mừng tuổi,A,"A. Khu vực, vùng (辺 (へん)), B. Nước ngoài (外国 (がいこく)), C. Cắt ~ (切る (きる)), D. Tiền mừng tuổi (お年玉 (おとしだま))",この辺は静かですね。(Khu vực này thật yên tĩnh.)
Q9,Từ '換える' có nghĩa là gì?,Đổi,Làm lạnh,"Bị gãy, bị đứt","Chia, phân loại",A,"A. Đổi (換える (かえる)), B. Làm lạnh (冷やす (ひやす)), C. Bị gãy, bị đứt (切れる (きれる)), D. Chia, phân loại (分ける (わける))",電池を新しいものに換えます。(Đổi sang cục pin mới.)
Q10,Từ 'もう少しで' có nghĩa là gì?,Ổ cắm,"Khu vực, vùng","Tối, u ám",Thêm một chút,D,"A. Ổ cắm (コンセント), B. Khu vực, vùng (辺 (へん)), C. Tối, u ám (暗い (くらい)), D. Thêm một chút (もう少しで (もうすこしで))",もう少しで終わります。(Chỉ thêm một chút nữa là xong.)
