ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q1,Từ '興味' có nghĩa là gì?,Hứng thú,Địa điểm,Người quen,Ý nghĩa,A,"A. Hứng thú (興味 (きょうみ)), B. Địa điểm, C. Người quen (知り合い (しりあい)), D. Ý nghĩa (意味 (いみ))",日本の文化に興味があります。(Tôi có hứng thú với văn hóa Nhật Bản.)
Q2,Từ '意味' có nghĩa là gì?,Hứng thú,Ý nghĩa,Nhạc kịch,Tình trạng,B,"A. Hứng thú (興味 (きょうみ)), B. Ý nghĩa (意味 (いみ)), C. Nhạc kịch (ミュージカル), D. Tình trạng",この言葉の意味が分かりません。(Tôi không hiểu ý nghĩa của từ này.)
Q3,Từ '場所' có nghĩa là gì?,Người quen,"Địa điểm, nơi",Tuyển thủ,Đồng nghiệp,B,"A. Người quen (知り合い (しりあい)), B. Địa điểm, nơi (場所 (ばしょ)), C. Tuyển thủ (選手 (せんしゅ)), D. Đồng nghiệp (同僚 (どうりょう))",待ち合わせの場所は駅の前です。(Địa điểm hẹn gặp là trước nhà ga.)
Q4,Từ '知り合い' có nghĩa là gì?,Người quen,Nhân vật chính,Tuyển thủ,Đồng nghiệp,A,"A. Người quen (知り合い (しりあい)), B. Nhân vật chính (主人公 (しゅじんこう)), C. Tuyển thủ (選手 (せんしゅ)), D. Đồng nghiệp (同僚 (どうりょう))",パーティーで知り合いに会いました。(Tôi đã gặp người quen ở bữa tiệc.)
Q5,Từ '選手' có nghĩa là gì?,Tài xế,Người quen,Tuyển thủ,Đồng nghiệp,C,"A. Tài xế, B. Người quen (知り合い (しりあい)), C. Tuyển thủ (選手 (せんしゅ)), D. Đồng nghiệp (同僚 (どうりょう))",彼は有名なサッカーの選手です。(Anh ấy là một cầu thủ bóng đá nổi tiếng.)
Q6,Từ '調子' có nghĩa là gì?,Hứng thú,Tâm trạng,Ý nghĩa,"Tình trạng (cơ thể, máy móc)",D,"A. Hứng thú (興味 (きょうみ)), B. Tâm trạng (気分 (きぶん)), C. Ý nghĩa (意味 (いみ)), D. Tình trạng (cơ thể, máy móc) (調子 (ちょうし))",今日は体の調子がいいです。(Hôm nay tình trạng cơ thể tôi rất tốt.)
Q7,Từ 'ミュージカル' có nghĩa là gì?,Hẹn hò,Nhạc kịch,Ngoại thương,Tán gẫu,B,"A. Hẹn hò (デート), B. Nhạc kịch (ミュージカル), C. Ngoại thương, D. Tán gẫu",週末にミュージカルを見に行きます。(Cuối tuần tôi sẽ đi xem nhạc kịch.)
Q8,Từ 'チャット' có nghĩa là gì?,Hẹn hò,"Tán gẫu, chat",Nhạc kịch,Quảng cáo,B,"A. Hẹn hò (デート), B. Tán gẫu, chat (チャット), C. Nhạc kịch (ミュージカル), D. Quảng cáo (広告 (こうこく))",友達とチャットをしています。(Tôi đang chat với bạn.)
Q9,Từ '遠い' có nghĩa là gì?,Rộng,Gần,Đắng,Xa,D,"A. Rộng (広い (ひろい)), B. Gần, C. Đắng (苦い (にがい)), D. Xa (遠い (とおい))",家から学校まで遠いです。(Từ nhà đến trường rất xa.)
Q10,Từ 'よろしい' có nghĩa là gì?,Đắng,Xa,Rộng,"Được, tốt (lịch sự)",D,"A. Đắng (苦い (にがい)), B. Xa (遠い (とおい)), C. Rộng (広い (ひろい)), D. Được, tốt (lịch sự) (よろしい)",こちらでよろしいですか。(Ở đây có được không ạ?)
Q11,Từ '苦い' có nghĩa là gì?,Ngọt,"To, lớn",Xa,Đắng,D,"A. Ngọt, B. To, lớn (大きな (おおきな)), C. Xa (遠い (とおい)), D. Đắng (苦い (にがい))",この薬はとても苦いです。(Thuốc này rất đắng.)
Q12,Từ '大きな' có nghĩa là gì?,Nhỏ,Đắng,Rộng,"To, lớn",D,"A. Nhỏ, B. Đắng (苦い (にがい)), C. Rộng (広い (ひろい)), D. To, lớn (大きな (おおきな))",大きな声で話してください。(Hãy nói lớn tiếng lên.)
Q13,Từ '似合う' có nghĩa là gì?,Bắt đầu,Hợp với,Sử dụng,Giới thiệu,B,"A. Bắt đầu (始める (はじめる)), B. Hợp với (似合う (にあう)), C. Sử dụng (利用する (りようする)), D. Giới thiệu (紹介する (しょうかいする))",その服、よく似合っていますね。(Bộ đồ đó rất hợp với bạn.)
Q14,Từ '始める' có nghĩa là gì?,Tốn,Gọi món,Kết thúc,Bắt đầu,D,"A. Tốn, B. Gọi món, C. Kết thúc, D. Bắt đầu (始める (はじめる))",日本語の勉強を始めます。(Bắt đầu học tiếng Nhật.)
Q15,Từ '注文する' có nghĩa là gì?,Sử dụng,Giới thiệu,"Gọi món, đặt mua",Cắt,C,"A. Sử dụng (利用する (りようする)), B. Giới thiệu (紹介する (しょうかいする)), C. Gọi món, đặt mua (注文する (ちゅうもんする)), D. Cắt",レストランで料理を注文します。(Gọi món ở nhà hàng.)
Q16,Từ '確か' có nghĩa là gì?,Hình như,Bởi vậy,Thật ra,Tại sao,A,"A. Hình như (確か (たしか)), B. Bởi vậy, C. Thật ra (実は (じつは)), D. Tại sao (なんで)",確か、彼は今日休みです。(Hình như hôm nay anh ấy nghỉ.)
Q17,Từ 'お大事に' có nghĩa là gì?,Giữ gìn sức khoẻ,Thật ra,Tại sao,Bởi vậy,A,"A. Giữ gìn sức khoẻ (お大事に (おだいじに)), B. Thật ra (実は (じつは)), C. Tại sao (なんで), D. Bởi vậy",風邪ですね。お大事に。(Cảm rồi nhỉ. Hãy giữ gìn sức khoẻ nhé.)
Q18,Từ '実は' có nghĩa là gì?,Làm thế nào,Hình như,Thật ra,Tại sao,C,"A. Làm thế nào (どうやって), B. Hình như (確か (たしか)), C. Thật ra (実は (じつは)), D. Tại sao (なんで)","実は、明日から旅行に行きます。(Thật ra, từ ngày mai tôi sẽ đi du lịch.)"
Q19,Từ '同僚' có nghĩa là gì?,Tài xế,Đồng nghiệp,Người quen,Tuyển thủ,B,"A. Tài xế, B. Đồng nghiệp (同僚 (どうりょう)), C. Người quen (知り合い (しりあい)), D. Tuyển thủ (選手 (せんしゅ))",会社の同僚と飲みに行きます。(Đi uống với đồng nghiệp công ty.)
Q20,Từ '貿易' có nghĩa là gì?,Chính trị,Hẹn hò,Kimono,"Ngoại thương, thương mại",D,"A. Chính trị (政治 (せいじ)), B. Hẹn hò (デート), C. Kimono (着物 (きもの)), D. Ngoại thương, thương mại (貿易 (ぼうえき))",貿易の仕事をしています。(Đang làm công việc ngoại thương.)
Q21,Từ '着物' có nghĩa là gì?,Hẹn hò,Tâm trạng,Kimono,Ngoại thương,C,"A. Hẹn hò (デート), B. Tâm trạng (気分 (きぶん)), C. Kimono (着物 (きもの)), D. Ngoại thương",お正月に着物を着ます。(Mặc kimono vào ngày Tết.)
Q22,Từ '具合' có nghĩa là gì?,Hứng thú,Chính trị,Tình trạng sức khoẻ,Tâm trạng,C,"A. Hứng thú (興味 (きょうみ)), B. Chính trị (政治 (せいじ)), C. Tình trạng sức khoẻ (具合 (ぐあい)), D. Tâm trạng (気分 (きぶん))",今日は具合が悪いです。(Hôm nay tình trạng sức khoẻ không tốt.)
Q23,Từ '気分' có nghĩa là gì?,Tình trạng sức khoẻ,Hẹn hò,Tâm trạng,Ngoại thương,C,"A. Tình trạng sức khoẻ (具合 (ぐあい)), B. Hẹn hò (デート), C. Tâm trạng (気分 (きぶん)), D. Ngoại thương",気分がいいです。(Tâm trạng đang tốt.)
Q24,Từ 'デート' có nghĩa là gì?,Hẹn hò,Kimono,Nhạc kịch,Tán gẫu,A,"A. Hẹn hò (デート), B. Kimono (着物 (きもの)), C. Nhạc kịch (ミュージカル), D. Tán gẫu",週末は彼女とデートです。(Cuối tuần có hẹn với bạn gái.)
Q25,Từ '利用する' có nghĩa là gì?,Giới thiệu,Cắt,Gọi món,Sử dụng,D,"A. Giới thiệu (紹介する (しょうかいする)), B. Cắt, C. Gọi món, D. Sử dụng (利用する (りようする))",図書館を利用します。(Sử dụng thư viện.)
Q26,Từ '紹介する' có nghĩa là gì?,Bắt đầu,Sử dụng,Giới thiệu,Cắt,C,"A. Bắt đầu (始める (はじめる)), B. Sử dụng (利用する (りようする)), C. Giới thiệu (紹介する (しょうかいする)), D. Cắt",友達を紹介します。(Giới thiệu bạn bè.)
Q27,Từ 'カットする' có nghĩa là gì?,Giới thiệu,"Cắt, chia",Sử dụng,Gọi món,B,"A. Giới thiệu (紹介する (しょうかいする)), B. Cắt, chia (カットする), C. Sử dụng (利用する (りようする)), D. Gọi món",髪をカットします。(Cắt tóc.)
Q28,Từ 'なんで' có nghĩa là gì?,Bởi vậy,Tại sao,Làm thế nào,Hình như,B,"A. Bởi vậy, B. Tại sao (なんで), C. Làm thế nào (どうやって), D. Hình như (確か (たしか))",なんで遅れたの？(Tại sao lại đến muộn?)
Q29,Từ 'だから' có nghĩa là gì?,Hình như,Tại sao,"Bởi vậy, vậy nên",Làm thế nào,C,"A. Hình như (確か (たしか)), B. Tại sao (なんで), C. Bởi vậy, vậy nên (だから), D. Làm thế nào (どうやって)",雨が降っている。だから出かけない。(Trời đang mưa. Bởi vậy nên không đi ra ngoài.)
Q30,Từ 'どうやって' có nghĩa là gì?,Bởi vậy,Làm thế nào,Thật ra,Tại sao,B,"A. Bởi vậy, B. Làm thế nào (どうやって), C. Thật ra (実は (じつは)), D. Tại sao (なんで)",駅までどうやって行きますか。(Đến nhà ga đi bằng cách nào?)
Q31,Từ '公園' có nghĩa là gì?,Sở thú,Khu vui chơi,Công viên,Nhà trẻ,C,"A. Sở thú (動物園 (どうぶつえん)), B. Khu vui chơi (遊園地 (ゆうえんち)), C. Công viên (公園 (こうえん)), D. Nhà trẻ (保育園 (ほいくえん))",公園で散歩します。(Đi dạo ở công viên.)
