﻿ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q1,台風,Đồ bẩn cần giặt,Cơn bão,Khu giải trí,Leo núi dã ngoại,B,"A. 洗濯物 (せんたくもの - Đồ bẩn cần giặt), B. 台風 (たいふう - Cơn bão), C. 遊園地 (ゆうえんち - Khu giải trí), D. ハイキング (Leo núi dã ngoại)",台風が来ます。(Bão đến.)
Q2,Bị thương,じこ,けが (する),かぜ,ぶつかる,B,"A. 事故 (じこ - Tai nạn), B. 怪我 (けが - Bị thương), C. 風邪 (かぜ - Cảm lạnh, cảm cúm), D. ぶつかる (Va phải, đụng phải)",怪我をしました。(Tôi đã bị thương.)
Q3,厳しい,"Nghiêm khắc, khắt khe",Khô ráo,Thành công,Giảm xuống,A,"A. 厳しい (きびしい - Nghiêm khắc, khắt khe), B. 乾く (かわく - Khô ráo), C. 成功 (せいこう - Thành công), D. 下がる (さがる - Giảm xuống)",先生は厳しいです。(Thầy giáo rất nghiêm khắc.)
Q4,Vắng nhà,ほんもの,りょかん,るす,へいじつ,C,"A. 本物 (ほんもの - Hàng thật), B. 旅館 (りょかん - Nhà nghỉ kiểu Nhật), C. 留守 (るす - Vắng nhà), D. 平日 (へいじつ - Ngày thường)",今は留守です。(Bây giờ tôi đang vắng nhà.)
Q5,かなう,Tận hưởng,Trả lại,Thất bại,(Ước mơ) thành hiện thực,D,"A. 楽しむ (たのしむ - Tận hưởng), B. 返す (かえす - Trả lại), C. 失敗 (しっぱい - Thất bại), D. 叶う (かなう - Thành hiện thực)",夢が叶います。(Ước mơ thành hiện thực.)
Q6,Xe cấp cứu,きゅうきゅうしゃ,ガソリン,ちょうみりょう,いりぐち,A,"A. 救急車 (きゅうきゅうしゃ - Xe cấp cứu), B. ガソリン (Xăng dầu), C. 調味料 (ちょうみりょう - Gia vị), D. 入り口 (いりぐち - Lối vào)",救急車を呼びます。(Gọi xe cấp cứu.)
Q7,まっくら,Tối om,Giống nhau,"Khá là, đáng kể","Nhất định, chắc chắn",A,"A. 真っ暗 (まっくら - Tối om), B. 同じ (おなじ - Giống nhau), C. だいぶ (Khá là, đáng kể), D. きっと (Nhất định, chắc chắn)",部屋が真っ暗です。(Căn phòng tối om.)
Q8,"Thu thập, tập trung lại",とどく,なくなる,あつまる,こむ,C,"A. 届く (とどく - Được gửi đến), B. なくなる (Mất, biến mất), C. 集まる (あつまる - Tập trung lại), D. 混む (こむ - Đông đúc, chen lấn)",人が集まります。(Mọi người tập trung lại.)
Q9,ぶつかる,"Dừng, tạnh mưa","Va phải, đụng phải",Giương ô,Bị cảm lạnh,B,"A. 止む (やむ - Dừng, tạnh mưa), B. ぶつかる (Va phải, đụng phải), C. 差す (さす - Giương ô), D. 風邪を引く (Bị cảm lạnh)",車にぶつかります。(Va phải ô tô.)
Q10,Sức mạnh,ちから,どうが,いしゃ,ち,A,"A. 力 (ちから - Sức mạnh), B. 動画 (どうが - Video), C. 医者 (いしゃ - Bác sĩ), D. 血 (ち - Máu)",力があります。(Có sức mạnh.)
Q11,ちゅうし (する),Hoàn thành,"Hủy, hủy bỏ",Làm việc,Chuyển động,B,"A. できる (Được làm, hoàn thành), B. 中止 (ちゅうし - Hủy bỏ), C. 働く (はたらく - Làm việc), D. 動く (うごく - Chuyển động)",試合は中止です。(Trận đấu bị hủy.)
Q12,Đồ đĩa (Chiếc đĩa),はいしゃ,おさら,おしらせ,しりあい,B,"A. 歯医者 (はいしゃ - Nha sĩ), B. お皿 (おさら - Chiếc đĩa), C. お知らせ (おしらせ - Thông báo), D. 知り合い (しりあい - Người quen)",お皿を洗います。(Rửa đĩa.)
Q13,さがる,Leo lên,Khô ráo,Tạnh mưa,"Giảm xuống, hạ xuống",D,"A. 上がる (あがる - Leo lên), B. 乾く (かわく - Khô ráo), C. 止む (やむ - Dừng, tạnh mưa), D. 下がる (さがる - Giảm xuống)",熱が下がります。(Sốt giảm xuống.)
Q14,"Hợp tác, hiệp lực",うんどう,じどう,きょうりょく,かんどう,C,"A. 運動 (うんどう - Vận động), B. 自動 (じどう - Tự động), C. 協力 (きょうりょく - Hợp tác, hiệp lực), D. 感動 (かんどう - Cảm động)",協力してください。(Hãy hợp tác nhé.)
