ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Từ nào dưới đây có nghĩa là: 「Sản phẩm」?,丸,商品,研究者,船,B,"A: 丸 (まる - Hình tròn) | B: 商品 (しょうひん - Sản phẩm) | C: 研究者 (けんきゅうしゃ - Nhà nghiên cứu) | D: 船 (ふね - Con thuyền, tàu). => Đáp án đúng là B vì 'Sản phẩm' tiếng Nhật là 「商品」.",
2,Từ 「ちょうみりょう」 được viết bằng chữ Kanji nào?,暗証番号,調味料,商品,電話番号,B,A: 暗証番号 (あんしょうばんごう - Mật khẩu) | B: 調味料 (ちょうみりょう - Gia vị) | C: 商品 (しょうひん - Sản phẩm) | D: 電話番号 (でんわばんごう - Số điện thoại). => Đáp án đúng là B vì từ 'ちょうみりょう' được viết là 「調味料」.,
3,Từ 「いみ」 được viết bằng chữ Kanji nào?,意味,商品,谷,使います,A,A: 意味 (いみ - Ý nghĩa) | B: 商品 (しょうひん - Sản phẩm) | C: 谷 (たに - Thung lũng) | D: 使います (つかいます - Sử dụng). => Đáp án đúng là A vì từ 'いみ' được viết là 「意味」.,
4,Cách đọc của chữ 「丸」 là gì?,つかいます,あんしょうばんごう,まる,あじ,C,A: つかいます (Sử dụng) | B: あんしょうばんごう (Mật khẩu) | C: まる (Hình tròn) | D: あじ (Mùi vị). => Đáp án đúng là C vì chữ 「丸」 đọc là 'まる'.,
5,Từ 「まる」 được viết bằng chữ Kanji nào?,研究者,電話番号,丸,研究,C,A: 研究者 (けんきゅうしゃ - Nhà nghiên cứu) | B: 電話番号 (でんわばんごう - Số điện thoại) | C: 丸 (まる - Hình tròn) | D: 研究 (けんきゅう - Nghiên cứu). => Đáp án đúng là C vì từ 'まる' được viết là 「丸」.,
6,Từ nào dưới đây có nghĩa là: 「Hứng thú」?,散歩します,研究者,興味,歴史,C,"A: 散歩します (さんぽします - Đi dạo, tản bộ) | B: 研究者 (けんきゅうしゃ - Nhà nghiên cứu) | C: 興味 (きょうみ - Hứng thú) | D: 歴史 (れきし - Lịch sử). => Đáp án đúng là C vì 'Hứng thú' tiếng Nhật là 「興味」.",
7,Cách đọc của chữ 「使います」 là gì?,けんきゅうしゃ,さんぽします,たいしかん,つかいます,D,"A: けんきゅうしゃ (Nhà nghiên cứu) | B: さんぽします (Đi dạo, tản bộ) | C: たいしかん (Đại sứ quán) | D: つかいます (Sử dụng). => Đáp án đúng là D vì chữ 「使います」 đọc là 'つかいます'.",
8,Từ nào dưới đây có nghĩa là: 「Số điện thoại」?,研究者,谷,化粧品,電話番号,D,A: 研究者 (けんきゅうしゃ - Nhà nghiên cứu) | B: 谷 (たに - Thung lũng) | C: 化粧品 (けしょうひん - Mỹ phẩm) | D: 電話番号 (でんわばんごう - Số điện thoại). => Đáp án đúng là D vì 'Số điện thoại' tiếng Nhật là 「電話番号」.,
9,Từ 「けしょうひん」 được viết bằng chữ Kanji nào?,化粧品,調味料,興味,味,A,A: 化粧品 (けしょうひん - Mỹ phẩm) | B: 調味料 (ちょうみりょう - Gia vị) | C: 興味 (きょうみ - Hứng thú) | D: 味 (あじ - Mùi vị). => Đáp án đúng là A vì từ 'けしょうひん' được viết là 「化粧品」.,
10,Từ nào dưới đây có nghĩa là: 「Đại sứ quán」?,大使館,信号,船,意味,A,"A: 大使館 (たいしかん - Đại sứ quán) | B: 信号 (しんごう - Tín hiệu, đèn giao thông) | C: 船 (ふね - Con thuyền, tàu) | D: 意味 (いみ - Ý nghĩa). => Đáp án đúng là A vì 'Đại sứ quán' tiếng Nhật là 「大使館」.",
11,Cách đọc của chữ 「意味」 là gì?,いみ,けしょうひん,れきし,とまります,A,"A: いみ (Ý nghĩa) | B: けしょうひん (Mỹ phẩm) | C: れきし (Lịch sử) | D: とまります ((xe) Dừng, đỗ). => Đáp án đúng là A vì chữ 「意味」 đọc là 'いみ'.",
12,Cách đọc của chữ 「電話番号」 là gì?,たいしかん,とまります,まる,でんわばんごう,D,"A: たいしかん (Đại sứ quán) | B: とまります ((xe) Dừng, đỗ) | C: まる (Hình tròn) | D: でんわばんごう (Số điện thoại). => Đáp án đúng là D vì chữ 「電話番号」 đọc là 'でんわばんごう'.",
13,Cách đọc của chữ 「止まります」 là gì?,さんぽします,でんわばんごう,けんきゅうしゃ,とまります,D,"A: さんぽします (Đi dạo, tản bộ) | B: でんわばんごう (Số điện thoại) | C: けんきゅうしゃ (Nhà nghiên cứu) | D: とまります ((xe) Dừng, đỗ). => Đáp án đúng là D vì chữ 「止まります」 đọc là 'とまります'.",
14,Từ 「やみます」 được viết bằng chữ Kanji nào?,調味料,丸,止みます,化粧品,C,"A: 調味料 (ちょうみりょう - Gia vị) | B: 丸 (まる - Hình tròn) | C: 止みます (やみます - Ngừng, dừng lại, tạnh (mưa)) | D: 化粧品 (けしょうひん - Mỹ phẩm). => Đáp án đúng là C vì từ 'やみます' được viết là 「止みます」.",
15,Cách đọc của chữ 「商品」 là gì?,しょうひん,あじ,ちゅうし,けんきゅう,A,"A: しょうひん (Sản phẩm) | B: あじ (Mùi vị) | C: ちゅうし (Hủy bỏ, ngừng (giữa chừng)) | D: けんきゅう (Nghiên cứu). => Đáp án đúng là A vì chữ 「商品」 đọc là 'しょうひん'.",
16,Cách đọc của chữ 「調味料」 là gì?,ちょうみりょう,でんわばんごう,あるきます,けしょうひん,A,A: ちょうみりょう (Gia vị) | B: でんわばんごう (Số điện thoại) | C: あるきます (Đi bộ) | D: けしょうひん (Mỹ phẩm). => Đáp án đúng là A vì chữ 「調味料」 đọc là 'ちょうみりょう'.,
17,Cách đọc của chữ 「化粧品」 là gì?,れきし,あるきます,とまります,けしょうひん,D,"A: れきし (Lịch sử) | B: あるきます (Đi bộ) | C: とまります ((xe) Dừng, đỗ) | D: けしょうひん (Mỹ phẩm). => Đáp án đúng là D vì chữ 「化粧品」 đọc là 'けしょうひん'.",
18,"Từ nào dưới đây có nghĩa là: 「(xe) Dừng, đỗ」?",止まります,暗証番号,電話番号,船,A,"A: 止まります (とまります - (xe) Dừng, đỗ) | B: 暗証番号 (あんしょうばんごう - Mật khẩu) | C: 電話番号 (でんわばんごう - Số điện thoại) | D: 船 (ふね - Con thuyền, tàu). => Đáp án đúng là A vì '(xe) Dừng, đỗ' tiếng Nhật là 「止まります」.",
19,Cách đọc của chữ 「信号」 là gì?,でんわばんごう,しんごう,つかいます,あんしょうばんごう,B,"A: でんわばんごう (Số điện thoại) | B: しんごう (Tín hiệu, đèn giao thông) | C: つかいます (Sử dụng) | D: あんしょうばんごう (Mật khẩu). => Đáp án đúng là B vì chữ 「信号」 đọc là 'しんごう'.",
