ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Từ 「ひきます」 được viết bằng chữ Kanji nào?,歯医者,都会,姉,引きます,D,"A: 歯医者 (はいしゃ - Nha sĩ) | B: 都会 (とかい - Thành phố, đô thị) | C: 姉 (あね - Chị gái) | D: 引きます (ひきます - Kéo). => Đáp án đúng là D vì từ 'ひきます' được viết là 「引きます」.",
2,Từ 「よわい」 được viết bằng chữ Kanji nào?,引き出します,弱い,姉,天気,B,A: 引き出します (ひきだします - Rút (tiền)) | B: 弱い (よわい - Yếu) | C: 姉 (あね - Chị gái) | D: 天気 (てんき - Thời tiết). => Đáp án đúng là B vì từ 'よわい' được viết là 「弱い」.,
3,Cách đọc của chữ 「妹」 là gì?,おくります,あつい,おっと,いもうと,D,"A: おくります (Gửi, tiễn (người)) | B: あつい (Nóng (thời tiết)) | C: おっと (Chồng (mình)) | D: いもうと (Em gái). => Đáp án đúng là D vì chữ 「妹」 đọc là 'いもうと'.",
4,Từ nào dưới đây có nghĩa là: 「Em gái (người khác)」?,妹さん,引き出し,医者,夫,A,A: 妹さん (いもうとさん - Em gái (người khác)) | B: 引き出し (ひきだし - Ngăn kéo) | C: 医者 (いしゃ - Bác sĩ) | D: 夫 (おっと - Chồng (mình)). => Đáp án đúng là A vì 'Em gái (người khác)' tiếng Nhật là 「妹さん」.,
5,Từ 「けんきゅうしゃ」 được viết bằng chữ Kanji nào?,引き出し,研究者,姉妹,天気予報,B,A: 引き出し (ひきだし - Ngăn kéo) | B: 研究者 (けんきゅうしゃ - Nhà nghiên cứu) | C: 姉妹 (しまい - Chị em gái) | D: 天気予報 (てんきよほう - Dự báo thời tiết). => Đáp án đúng là B vì từ 'けんきゅうしゃ' được viết là 「研究者」.,
6,Từ 「つま」 được viết bằng chữ Kanji nào?,引き出し,妻,歯医者,地下鉄,B,A: 引き出し (ひきだし - Ngăn kéo) | B: 妻 (つま - Vợ (mình)) | C: 歯医者 (はいしゃ - Nha sĩ) | D: 地下鉄 (ちかてつ - Tàu điện ngầm). => Đáp án đúng là B vì từ 'つま' được viết là 「妻」.,
7,Từ 「ひきだし」 được viết bằng chữ Kanji nào?,引き出し,姉,妹さん,お姉さん,A,A: 引き出し (ひきだし - Ngăn kéo) | B: 姉 (あね - Chị gái) | C: 妹さん (いもうとさん - Em gái (người khác)) | D: お姉さん (おねえさん - Chị gái (người khác)). => Đáp án đúng là A vì từ 'ひきだし' được viết là 「引き出し」.,
8,Cách đọc của chữ 「都合」 là gì?,てんき,つごう,いもうとさん,てんきよほう,B,A: てんき (Thời tiết) | B: つごう (Sự thuận tiện) | C: いもうとさん (Em gái (người khác)) | D: てんきよほう (Dự báo thời tiết). => Đáp án đúng là B vì chữ 「都合」 đọc là 'つごう'.,
9,Cách đọc của chữ 「大丈夫」 là gì?,きょうだい,あね,ひっこします,だいじょうぶ,D,"A: きょうだい (Anh chị em) | B: あね (Chị gái) | C: ひっこします (Chuyển nhà) | D: だいじょうぶ (Ổn, không sao). => Đáp án đúng là D vì chữ 「大丈夫」 đọc là 'だいじょうぶ'.",
10,Cách đọc của chữ 「姉妹」 là gì?,ひきだし,ひっこします,つごう,しまい,D,A: ひきだし (Ngăn kéo) | B: ひっこします (Chuyển nhà) | C: つごう (Sự thuận tiện) | D: しまい (Chị em gái). => Đáp án đúng là D vì chữ 「姉妹」 đọc là 'しまい'.,
11,Từ 「ひっこします」 được viết bằng chữ Kanji nào?,都会,引っ越します,地下鉄,医者,B,"A: 都会 (とかい - Thành phố, đô thị) | B: 引っ越します (ひっこします - Chuyển nhà) | C: 地下鉄 (ちかてつ - Tàu điện ngầm) | D: 医者 (いしゃ - Bác sĩ). => Đáp án đúng là B vì từ 'ひっこします' được viết là 「引っ越します」.",
12,Cách đọc của chữ 「妹さん」 là gì?,いもうとさん,ひきます,とかい,きょうだい,A,"A: いもうとさん (Em gái (người khác)) | B: ひきます (Kéo) | C: とかい (Thành phố, đô thị) | D: きょうだい (Anh chị em). => Đáp án đúng là A vì chữ 「妹さん」 đọc là 'いもうとさん'.",
13,"Từ nào dưới đây có nghĩa là: 「Ổn, không sao」?",地下鉄,大丈夫,暑い,弟,B,"A: 地下鉄 (ちかてつ - Tàu điện ngầm) | B: 大丈夫 (だいじょうぶ - Ổn, không sao) | C: 暑い (あつい - Nóng (thời tiết)) | D: 弟 (おとうと - Em trai). => Đáp án đúng là B vì 'Ổn, không sao' tiếng Nhật là 「大丈夫」.",
14,Từ 「きょうだい」 được viết bằng chữ Kanji nào?,弟さん,兄弟,引き出し,考えます,B,A: 弟さん (おとうとさん - Em trai (người khác)) | B: 兄弟 (きょうだい - Anh chị em) | C: 引き出し (ひきだし - Ngăn kéo) | D: 考えます (かんがえます - Suy nghĩ). => Đáp án đúng là B vì từ 'きょうだい' được viết là 「兄弟」.,
15,"Từ nào dưới đây có nghĩa là: 「Thành phố, đô thị」?",都会,都合,お姉さん,姉妹,A,"A: 都会 (とかい - Thành phố, đô thị) | B: 都合 (つごう - Sự thuận tiện) | C: お姉さん (おねえさん - Chị gái (người khác)) | D: 姉妹 (しまい - Chị em gái). => Đáp án đúng là A vì 'Thành phố, đô thị' tiếng Nhật là 「都会」.",
16,Từ 「おくります」 được viết bằng chữ Kanji nào?,送ります,考えます,暑い,医者,A,"A: 送ります (おくります - Gửi, tiễn (người)) | B: 考えます (かんがえます - Suy nghĩ) | C: 暑い (あつい - Nóng (thời tiết)) | D: 医者 (いしゃ - Bác sĩ). => Đáp án đúng là A vì từ 'おくります' được viết là 「送ります」.",
17,Từ nào dưới đây có nghĩa là: 「Yếu」?,妻,引き出します,弱い,天気予報,C,A: 妻 (つま - Vợ (mình)) | B: 引き出します (ひきだします - Rút (tiền)) | C: 弱い (よわい - Yếu) | D: 天気予報 (てんきよほう - Dự báo thời tiết). => Đáp án đúng là C vì 'Yếu' tiếng Nhật là 「弱い」.,
18,Từ nào dưới đây có nghĩa là: 「Sự thuận tiện」?,地下鉄,送ります,都合,引っ越します,C,"A: 地下鉄 (ちかてつ - Tàu điện ngầm) | B: 送ります (おくります - Gửi, tiễn (người)) | C: 都合 (つごう - Sự thuận tiện) | D: 引っ越します (ひっこします - Chuyển nhà). => Đáp án đúng là C vì 'Sự thuận tiện' tiếng Nhật là 「都合」.",
19,Từ nào dưới đây có nghĩa là: 「Kéo」?,都会,引きます,弱い,引き出します,B,"A: 都会 (とかい - Thành phố, đô thị) | B: 引きます (ひきます - Kéo) | C: 弱い (よわい - Yếu) | D: 引き出します (ひきだします - Rút (tiền)). => Đáp án đúng là B vì 'Kéo' tiếng Nhật là 「引きます」.",
20,Từ 「いもうと」 được viết bằng chữ Kanji nào?,地下鉄,引きます,妹,姉,C,A: 地下鉄 (ちかてつ - Tàu điện ngầm) | B: 引きます (ひきます - Kéo) | C: 妹 (いもうと - Em gái) | D: 姉 (あね - Chị gái). => Đáp án đúng là C vì từ 'いもうと' được viết là 「妹」.,
21,Cách đọc của chữ 「研究者」 là gì?,てんき,けんきゅうしゃ,いもうとさん,おとうとさん,B,A: てんき (Thời tiết) | B: けんきゅうしゃ (Nhà nghiên cứu) | C: いもうとさん (Em gái (người khác)) | D: おとうとさん (Em trai (người khác)). => Đáp án đúng là B vì chữ 「研究者」 đọc là 'けんきゅうしゃ'.,
22,Từ 「とかい」 được viết bằng chữ Kanji nào?,考えます,医者,都会,引き出し,C,"A: 考えます (かんがえます - Suy nghĩ) | B: 医者 (いしゃ - Bác sĩ) | C: 都会 (とかい - Thành phố, đô thị) | D: 引き出し (ひきだし - Ngăn kéo). => Đáp án đúng là C vì từ 'とかい' được viết là 「都会」.",
23,Từ 「おとうとさん」 được viết bằng chữ Kanji nào?,弱い,引き出し,弟さん,妻,C,A: 弱い (よわい - Yếu) | B: 引き出し (ひきだし - Ngăn kéo) | C: 弟さん (おとうとさん - Em trai (người khác)) | D: 妻 (つま - Vợ (mình)). => Đáp án đúng là C vì từ 'おとうとさん' được viết là 「弟さん」.,
24,Từ 「てんき」 được viết bằng chữ Kanji nào?,姉妹,地下鉄,弟さん,天気,D,A: 姉妹 (しまい - Chị em gái) | B: 地下鉄 (ちかてつ - Tàu điện ngầm) | C: 弟さん (おとうとさん - Em trai (người khác)) | D: 天気 (てんき - Thời tiết). => Đáp án đúng là D vì từ 'てんき' được viết là 「天気」.,
25,Từ 「おとうと」 được viết bằng chữ Kanji nào?,弟,兄弟,弟さん,引きます,A,A: 弟 (おとうと - Em trai) | B: 兄弟 (きょうだい - Anh chị em) | C: 弟さん (おとうとさん - Em trai (người khác)) | D: 引きます (ひきます - Kéo). => Đáp án đúng là A vì từ 'おとうと' được viết là 「弟」.,
26,Từ nào dưới đây có nghĩa là: 「Chuyển nhà」?,引っ越します,姉妹,弱い,暑い,A,A: 引っ越します (ひっこします - Chuyển nhà) | B: 姉妹 (しまい - Chị em gái) | C: 弱い (よわい - Yếu) | D: 暑い (あつい - Nóng (thời tiết)). => Đáp án đúng là A vì 'Chuyển nhà' tiếng Nhật là 「引っ越します」.,
