ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Cách đọc của chữ 「教科書」 là gì?,しゅくだい,せんしゅう,きょうかしょ,かお,C,"A: しゅくだい (Bài tập về nhà) | B: せんしゅう (Tuần trước) | C: きょうかしょ (Sách giáo khoa) | D: かお (Gương mặt, khuôn mặt). => Đáp án đúng là C vì chữ 「教科書」 đọc là 'きょうかしょ'.",
2,Từ 「きょうかしょ」 được viết bằng chữ Kanji nào?,教科書,問題,食べ放題,速い,A,"A: 教科書 (きょうかしょ - Sách giáo khoa) | B: 問題 (もんだい - Vấn đề) | C: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | D: 速い (はやい - Nhanh). => Đáp án đúng là A vì từ 'きょうかしょ' được viết là 「教科書」.",
3,Từ nào dưới đây có nghĩa là: 「Tuần trước」?,先週,科学,郵便局,化粧,A,A: 先週 (せんしゅう - Tuần trước) | B: 科学 (かがく - Khoa học) | C: 郵便局 (ゆうびんきょく - Bưu điện) | D: 化粧 (けしょう - Trang điểm). => Đáp án đúng là A vì 'Tuần trước' tiếng Nhật là 「先週」.,
4,Từ nào dưới đây có nghĩa là: 「Tuần này」?,来週,今週,科学,化粧,B,A: 来週 (らいしゅう - Tuần sau) | B: 今週 (こんしゅう - Tuần này) | C: 科学 (かがく - Khoa học) | D: 化粧 (けしょう - Trang điểm). => Đáp án đúng là B vì 'Tuần này' tiếng Nhật là 「今週」.,
5,Từ nào dưới đây có nghĩa là: 「Trang điểm」?,係の人,化粧,速い,郵便局,B,A: 係の人 (かかりのひと - Người phụ trách) | B: 化粧 (けしょう - Trang điểm) | C: 速い (はやい - Nhanh) | D: 郵便局 (ゆうびんきょく - Bưu điện). => Đáp án đúng là B vì 'Trang điểm' tiếng Nhật là 「化粧」.,
6,"Từ nào dưới đây có nghĩa là: 「Gương mặt, khuôn mặt」?",食べ放題,係の人,顔,教科書,C,"A: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | B: 係の人 (かかりのひと - Người phụ trách) | C: 顔 (かお - Gương mặt, khuôn mặt) | D: 教科書 (きょうかしょ - Sách giáo khoa). => Đáp án đúng là C vì 'Gương mặt, khuôn mặt' tiếng Nhật là 「顔」.",
7,Từ nào dưới đây có nghĩa là: 「Tuần sau nữa」?,再来週,郵便局,宅配便,化粧,A,A: 再来週 (さいらいしゅう - Tuần sau nữa) | B: 郵便局 (ゆうびんきょく - Bưu điện) | C: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà) | D: 化粧 (けしょう - Trang điểm). => Đáp án đúng là A vì 'Tuần sau nữa' tiếng Nhật là 「再来週」.,
8,Từ nào dưới đây có nghĩa là: 「Vấn đề」?,問題,郵便局,先週,顔,A,"A: 問題 (もんだい - Vấn đề) | B: 郵便局 (ゆうびんきょく - Bưu điện) | C: 先週 (せんしゅう - Tuần trước) | D: 顔 (かお - Gương mặt, khuôn mặt). => Đáp án đúng là A vì 'Vấn đề' tiếng Nhật là 「問題」.",
9,Từ 「かかりのひと」 được viết bằng chữ Kanji nào?,係の人,来週,利用,化粧品,A,"A: 係の人 (かかりのひと - Người phụ trách) | B: 来週 (らいしゅう - Tuần sau) | C: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | D: 化粧品 (けしょうひん - Mỹ phẩm). => Đáp án đúng là A vì từ 'かかりのひと' được viết là 「係の人」.",
10,Cách đọc của chữ 「科学」 là gì?,もんだい,はやい,かがく,ふべん,C,A: もんだい (Vấn đề) | B: はやい (Nhanh) | C: かがく (Khoa học) | D: ふべん (Bất tiện). => Đáp án đúng là C vì chữ 「科学」 đọc là 'かがく'.,
