ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Cách đọc của chữ 「材料」 là gì?,りょうり,ざいりょう,なります,しょくりょうひん,B,"A: りょうり (Món ăn; nấu ăn) | B: ざいりょう (Nguyên liệu, vật liệu; tài liệu) | C: なります ((chuông) Reo) | D: しょくりょうひん (Thực phẩm). => Đáp án đúng là B vì chữ 「材料」 đọc là 'ざいりょう'.",
2,Cách đọc của chữ 「番組」 là gì?,ざいりょう,ばんぐみ,しゅうり,こうばん,B,"A: ざいりょう (Nguyên liệu, vật liệu; tài liệu) | B: ばんぐみ (Chương trình (truyền hình)) | C: しゅうり (Sửa chữa) | D: こうばん (Đồn cảnh sát). => Đáp án đúng là B vì chữ 「番組」 đọc là 'ばんぐみ'.",
3,Từ 「なきます」 được viết bằng chữ Kanji nào?,奥さん,食料品,無料,鳴きます,D,"A: 奥さん (おくさん - Vợ (người khác)) | B: 食料品 (しょくりょうひん - Thực phẩm) | C: 無料 (むりょう - Miễn phí) | D: 鳴きます (なきます - (mèo, chim...) Kêu, hót). => Đáp án đúng là D vì từ 'なきます' được viết là 「鳴きます」.",
4,Từ 「やさい」 được viết bằng chữ Kanji nào?,無料,奥さん,鳥,野菜,D,A: 無料 (むりょう - Miễn phí) | B: 奥さん (おくさん - Vợ (người khác)) | C: 鳥 (とり - Con chim) | D: 野菜 (やさい - Rau). => Đáp án đúng là D vì từ 'やさい' được viết là 「野菜」.,
5,Từ 「ばんぐみ」 được viết bằng chữ Kanji nào?,交番,奥さん,暗証番号,番組,D,A: 交番 (こうばん - Đồn cảnh sát) | B: 奥さん (おくさん - Vợ (người khác)) | C: 暗証番号 (あんしょうばんごう - Mật khẩu) | D: 番組 (ばんぐみ - Chương trình (truyền hình)). => Đáp án đúng là D vì từ 'ばんぐみ' được viết là 「番組」.,
6,Từ nào dưới đây có nghĩa là: 「Sửa chữa」?,調味料,鳥,修理,一番,C,A: 調味料 (ちょうみりょう - Gia vị) | B: 鳥 (とり - Con chim) | C: 修理 (しゅうり - Sửa chữa) | D: 一番 (いちばん - Số 1; nhất). => Đáp án đúng là C vì 'Sửa chữa' tiếng Nhật là 「修理」.,
7,Từ nào dưới đây có nghĩa là: 「(chuông) Reo」?,交番,調味料,若い,鳴ります,D,A: 交番 (こうばん - Đồn cảnh sát) | B: 調味料 (ちょうみりょう - Gia vị) | C: 若い (わかい - Trẻ trung) | D: 鳴ります (なります - (chuông) Reo). => Đáp án đúng là D vì '(chuông) Reo' tiếng Nhật là 「鳴ります」.,
8,Cách đọc của chữ 「交番」 là gì?,こうばん,わかい,いちばん,きゅうりょう,A,A: こうばん (Đồn cảnh sát) | B: わかい (Trẻ trung) | C: いちばん (Số 1; nhất) | D: きゅうりょう (Lương). => Đáp án đúng là A vì chữ 「交番」 đọc là 'こうばん'.,
9,Từ 「とり」 được viết bằng chữ Kanji nào?,材料,一番,鳥,料理,C,"A: 材料 (ざいりょう - Nguyên liệu, vật liệu; tài liệu) | B: 一番 (いちばん - Số 1; nhất) | C: 鳥 (とり - Con chim) | D: 料理 (りょうり - Món ăn; nấu ăn). => Đáp án đúng là C vì từ 'とり' được viết là 「鳥」.",
10,Cách đọc của chữ 「調味料」 là gì?,ちょうみりょう,でんわばんごう,しゅうり,なきます,A,"A: ちょうみりょう (Gia vị) | B: でんわばんごう (Số điện thoại) | C: しゅうり (Sửa chữa) | D: なきます ((mèo, chim...) Kêu, hót). => Đáp án đúng là A vì chữ 「調味料」 đọc là 'ちょうみりょう'.",
11,Cách đọc của chữ 「給料」 là gì?,いちばん,しゅうり,きゅうりょう,おくさん,C,A: いちばん (Số 1; nhất) | B: しゅうり (Sửa chữa) | C: きゅうりょう (Lương) | D: おくさん (Vợ (người khác)). => Đáp án đúng là C vì chữ 「給料」 đọc là 'きゅうりょう'.,
12,Từ 「ざいりょう」 được viết bằng chữ Kanji nào?,材料,給料,野菜,野球,A,"A: 材料 (ざいりょう - Nguyên liệu, vật liệu; tài liệu) | B: 給料 (きゅうりょう - Lương) | C: 野菜 (やさい - Rau) | D: 野球 (やきゅう - Bóng chày). => Đáp án đúng là A vì từ 'ざいりょう' được viết là 「材料」.",
13,Từ 「しま」 được viết bằng chữ Kanji nào?,鳥,里芋,一番,島,D,A: 鳥 (とり - Con chim) | B: 里芋 (さといも - Khoai sọ) | C: 一番 (いちばん - Số 1; nhất) | D: 島 (しま - Hòn đảo). => Đáp án đúng là D vì từ 'しま' được viết là 「島」.,
14,Cách đọc của chữ 「電話番号」 là gì?,なきます,わかい,でんわばんごう,やさい,C,"A: なきます ((mèo, chim...) Kêu, hót) | B: わかい (Trẻ trung) | C: でんわばんごう (Số điện thoại) | D: やさい (Rau). => Đáp án đúng là C vì chữ 「電話番号」 đọc là 'でんわばんごう'.",
15,Cách đọc của chữ 「里芋」 là gì?,ばんりのちょうじょう,しょくりょうひん,さといも,とり,C,A: ばんりのちょうじょう (Vạn Lý Trường Thành) | B: しょくりょうひん (Thực phẩm) | C: さといも (Khoai sọ) | D: とり (Con chim). => Đáp án đúng là C vì chữ 「里芋」 đọc là 'さといも'.,
16,Cách đọc của chữ 「野菜」 là gì?,やきゅう,やさい,しま,ちょうみりょう,B,A: やきゅう (Bóng chày) | B: やさい (Rau) | C: しま (Hòn đảo) | D: ちょうみりょう (Gia vị). => Đáp án đúng là B vì chữ 「野菜」 đọc là 'やさい'.,
17,Từ 「さといも」 được viết bằng chữ Kanji nào?,里芋,食料品,修理,一番,A,A: 里芋 (さといも - Khoai sọ) | B: 食料品 (しょくりょうひん - Thực phẩm) | C: 修理 (しゅうり - Sửa chữa) | D: 一番 (いちばん - Số 1; nhất). => Đáp án đúng là A vì từ 'さといも' được viết là 「里芋」.,
18,Từ 「きゅうりょう」 được viết bằng chữ Kanji nào?,一番,野菜,番組,給料,D,A: 一番 (いちばん - Số 1; nhất) | B: 野菜 (やさい - Rau) | C: 番組 (ばんぐみ - Chương trình (truyền hình)) | D: 給料 (きゅうりょう - Lương). => Đáp án đúng là D vì từ 'きゅうりょう' được viết là 「給料」.,
19,Cách đọc của chữ 「鳴ります」 là gì?,こうばん,なります,むりょう,ざいりょう,B,"A: こうばん (Đồn cảnh sát) | B: なります ((chuông) Reo) | C: むりょう (Miễn phí) | D: ざいりょう (Nguyên liệu, vật liệu; tài liệu). => Đáp án đúng là B vì chữ 「鳴ります」 đọc là 'なります'.",
20,Từ nào dưới đây có nghĩa là: 「Chương trình (truyền hình)」?,番組,野菜,無料,料理,A,A: 番組 (ばんぐみ - Chương trình (truyền hình)) | B: 野菜 (やさい - Rau) | C: 無料 (むりょう - Miễn phí) | D: 料理 (りょうり - Món ăn; nấu ăn). => Đáp án đúng là A vì 'Chương trình (truyền hình)' tiếng Nhật là 「番組」.,
21,"Từ nào dưới đây có nghĩa là: 「(mèo, chim...) Kêu, hót」?",番組,一番,鳴きます,万里の長城,C,"A: 番組 (ばんぐみ - Chương trình (truyền hình)) | B: 一番 (いちばん - Số 1; nhất) | C: 鳴きます (なきます - (mèo, chim...) Kêu, hót) | D: 万里の長城 (ばんりのちょうじょう - Vạn Lý Trường Thành). => Đáp án đúng là C vì '(mèo, chim...) Kêu, hót' tiếng Nhật là 「鳴きます」.",
22,Cách đọc của chữ 「鳥」 là gì?,こうばん,しょくりょうひん,とり,しま,C,A: こうばん (Đồn cảnh sát) | B: しょくりょうひん (Thực phẩm) | C: とり (Con chim) | D: しま (Hòn đảo). => Đáp án đúng là C vì chữ 「鳥」 đọc là 'とり'.,
23,Cách đọc của chữ 「若い」 là gì?,いちばん,とり,おくさん,わかい,D,A: いちばん (Số 1; nhất) | B: とり (Con chim) | C: おくさん (Vợ (người khác)) | D: わかい (Trẻ trung). => Đáp án đúng là D vì chữ 「若い」 đọc là 'わかい'.,
24,Từ nào dưới đây có nghĩa là: 「Số điện thoại」?,料理,鳴きます,電話番号,無料,C,"A: 料理 (りょうり - Món ăn; nấu ăn) | B: 鳴きます (なきます - (mèo, chim...) Kêu, hót) | C: 電話番号 (でんわばんごう - Số điện thoại) | D: 無料 (むりょう - Miễn phí). => Đáp án đúng là C vì 'Số điện thoại' tiếng Nhật là 「電話番号」.",
25,Cách đọc của chữ 「島」 là gì?,りょうり,しま,しょくりょうひん,やきゅう,B,A: りょうり (Món ăn; nấu ăn) | B: しま (Hòn đảo) | C: しょくりょうひん (Thực phẩm) | D: やきゅう (Bóng chày). => Đáp án đúng là B vì chữ 「島」 đọc là 'しま'.,
26,Cách đọc của chữ 「修理」 là gì?,あんしょうばんごう,なきます,しゅうり,いちばん,C,"A: あんしょうばんごう (Mật khẩu) | B: なきます ((mèo, chim...) Kêu, hót) | C: しゅうり (Sửa chữa) | D: いちばん (Số 1; nhất). => Đáp án đúng là C vì chữ 「修理」 đọc là 'しゅうり'.",
27,Từ nào dưới đây có nghĩa là: 「Hòn đảo」?,修理,島,給料,若い,B,A: 修理 (しゅうり - Sửa chữa) | B: 島 (しま - Hòn đảo) | C: 給料 (きゅうりょう - Lương) | D: 若い (わかい - Trẻ trung). => Đáp án đúng là B vì 'Hòn đảo' tiếng Nhật là 「島」.,
28,Từ 「いちばん」 được viết bằng chữ Kanji nào?,一番,修理,万里の長城,鳥,A,A: 一番 (いちばん - Số 1; nhất) | B: 修理 (しゅうり - Sửa chữa) | C: 万里の長城 (ばんりのちょうじょう - Vạn Lý Trường Thành) | D: 鳥 (とり - Con chim). => Đáp án đúng là A vì từ 'いちばん' được viết là 「一番」.,
29,Cách đọc của chữ 「一番」 là gì?,あんしょうばんごう,おくさん,なります,いちばん,D,A: あんしょうばんごう (Mật khẩu) | B: おくさん (Vợ (người khác)) | C: なります ((chuông) Reo) | D: いちばん (Số 1; nhất). => Đáp án đúng là D vì chữ 「一番」 đọc là 'いちばん'.,
