ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Cách đọc của chữ 「大切」 là gì?,たいせつ,すみます,おうさま,へん,A,"A: たいせつ (Quan trọng) | B: すみます (Sống, sinh sống) | C: おうさま (Nhà vua) | D: へん (Khu vực, vùng). => Đáp án đúng là A vì chữ 「大切」 đọc là 'たいせつ'.",
2,Cách đọc của chữ 「住みます」 là gì?,ところ,がいこく,ちかづきます,すみます,D,"A: ところ (Nơi, chỗ) | B: がいこく (Nước ngoài) | C: ちかづきます (Lại gần, tiếp cận) | D: すみます (Sống, sinh sống). => Đáp án đúng là D vì chữ 「住みます」 đọc là 'すみます'.",
3,"Từ nào dưới đây có nghĩa là: 「Địa chỉ, nơi ở」?",目玉焼き,住所,近い,近所,B,"A: 目玉焼き (めだまやき - Trứng ốp la) | B: 住所 (じゅうしょ - Địa chỉ, nơi ở) | C: 近い (ちかい - Gần, sát) | D: 近所 (きんじょ - Hàng xóm, khu lân cận). => Đáp án đúng là B vì 'Địa chỉ, nơi ở' tiếng Nhật là 「住所」.",
4,Từ 「きんじょ」 được viết bằng chữ Kanji nào?,ご主人,近所,国,住所,B,"A: ご主人 (ごしゅじん - Chồng (người khác)) | B: 近所 (きんじょ - Hàng xóm, khu lân cận) | C: 国 (くに - Đất nước) | D: 住所 (じゅうしょ - Địa chỉ, nơi ở). => Đáp án đúng là B vì từ 'きんじょ' được viết là 「近所」.",
5,Cách đọc của chữ 「国際」 là gì?,きっぷ,こくさい,じゅうしょ,おとしだま,B,"A: きっぷ (Vé) | B: こくさい (Quốc tế) | C: じゅうしょ (Địa chỉ, nơi ở) | D: おとしだま (Tiền mừng tuổi). => Đáp án đúng là B vì chữ 「国際」 đọc là 'こくさい'.",
6,Từ 「こくさい」 được viết bằng chữ Kanji nào?,近所,国際,最近,国,B,"A: 近所 (きんじょ - Hàng xóm, khu lân cận) | B: 国際 (こくさい - Quốc tế) | C: 最近 (さいきん - Gần đây, dạo này) | D: 国 (くに - Đất nước). => Đáp án đúng là B vì từ 'こくさい' được viết là 「国際」.",
7,Từ 「へん」 được viết bằng chữ Kanji nào?,切手,所,辺,外国,C,"A: 切手 (きって - Con tem) | B: 所 (ところ - Nơi, chỗ) | C: 辺 (へん - Khu vực, vùng) | D: 外国 (がいこく - Nước ngoài). => Đáp án đúng là C vì từ 'へん' được viết là 「辺」.",
8,Cách đọc của chữ 「ご主人」 là gì?,ごしゅじん,しゅじんこう,ちかづきます,おとしだま,A,"A: ごしゅじん (Chồng (người khác)) | B: しゅじんこう (Nhân vật chính) | C: ちかづきます (Lại gần, tiếp cận) | D: おとしだま (Tiền mừng tuổi). => Đáp án đúng là A vì chữ 「ご主人」 đọc là 'ごしゅじん'.",
9,"Từ nào dưới đây có nghĩa là: 「Gần, sát」?",近い,国際,台所,主人公,A,"A: 近い (ちかい - Gần, sát) | B: 国際 (こくさい - Quốc tế) | C: 台所 (だいどころ - Bếp, phòng bếp) | D: 主人公 (しゅじんこう - Nhân vật chính). => Đáp án đúng là A vì 'Gần, sát' tiếng Nhật là 「近い」.",
10,Từ 「さいきん」 được viết bằng chữ Kanji nào?,最近,飼い主,この辺,国,A,"A: 最近 (さいきん - Gần đây, dạo này) | B: 飼い主 (かいぬし - Chủ nuôi) | C: この辺 (このへん - Vùng này, khu vực này) | D: 国 (くに - Đất nước). => Đáp án đúng là A vì từ 'さいきん' được viết là 「最近」.",
11,"Từ nào dưới đây có nghĩa là: 「Bếp, phòng bếp」?",所,最近,国,台所,D,"A: 所 (ところ - Nơi, chỗ) | B: 最近 (さいきん - Gần đây, dạo này) | C: 国 (くに - Đất nước) | D: 台所 (だいどころ - Bếp, phòng bếp). => Đáp án đúng là D vì 'Bếp, phòng bếp' tiếng Nhật là 「台所」.",
12,Cách đọc của chữ 「この辺」 là gì?,ところ,きって,このへん,しめきり,C,"A: ところ (Nơi, chỗ) | B: きって (Con tem) | C: このへん (Vùng này, khu vực này) | D: しめきり (Hạn chót). => Đáp án đúng là C vì chữ 「この辺」 đọc là 'このへん'.",
13,Cách đọc của chữ 「切ります」 là gì?,きります,さいきん,このへん,めだまやき,A,"A: きります (Cắt, cứa; ngắt (nguồn điện, điện thoại)) | B: さいきん (Gần đây, dạo này) | C: このへん (Vùng này, khu vực này) | D: めだまやき (Trứng ốp la). => Đáp án đúng là A vì chữ 「切ります」 đọc là 'きります'.",
14,Từ nào dưới đây có nghĩa là: 「Chồng (người khác)」?,近所,親切,切符,ご主人,D,"A: 近所 (きんじょ - Hàng xóm, khu lân cận) | B: 親切 (しんせつ - Thân thiện, tử tế) | C: 切符 (きっぷ - Vé) | D: ご主人 (ごしゅじん - Chồng (người khác)). => Đáp án đúng là D vì 'Chồng (người khác)' tiếng Nhật là 「ご主人」.",
15,Cách đọc của chữ 「近所」 là gì?,しめきり,きんじょ,きります,たいせつ,B,"A: しめきり (Hạn chót) | B: きんじょ (Hàng xóm, khu lân cận) | C: きります (Cắt, cứa; ngắt (nguồn điện, điện thoại)) | D: たいせつ (Quan trọng). => Đáp án đúng là B vì chữ 「近所」 đọc là 'きんじょ'.",
16,Từ nào dưới đây có nghĩa là: 「Con tem」?,辺,近い,切手,外国語,C,"A: 辺 (へん - Khu vực, vùng) | B: 近い (ちかい - Gần, sát) | C: 切手 (きって - Con tem) | D: 外国語 (がいこくご - Ngoại ngữ). => Đáp án đúng là C vì 'Con tem' tiếng Nhật là 「切手」.",
