ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Từ 「ふどうさん」 được viết bằng chữ Kanji nào?,お皿,短い,承知,不動産,D,"A: お皿 (đọc là おさら, nghĩa là: Chiếc đĩa) | B: 短い (đọc là みじかい, nghĩa là: Ngắn) | C: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ) | D: 不動産 (đọc là ふどうさん, nghĩa là: Bất động sản). => Đáp án đúng là D vì từ 'ふどうさん' được viết bằng Kanji là 「不動産」.",不動産屋 (Công ty bất động sản)
2,Từ 「みじかい」 được viết bằng chữ Kanji nào?,短い,お知らせ,短気,不動産,A,"A: 短い (đọc là みじかい, nghĩa là: Ngắn) | B: お知らせ (đọc là おしらせ, nghĩa là: Thông báo) | C: 短気 (đọc là たんき, nghĩa là: Nóng nảy, dễ nổi nóng) | D: 不動産 (đọc là ふどうさん, nghĩa là: Bất động sản). => Đáp án đúng là A vì từ 'みじかい' được viết bằng Kanji là 「短い」.",短い髪 (Tóc ngắn)
3,Từ 「ち」 được viết bằng chữ Kanji nào?,承知,血,感動,お皿,B,"A: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ) | B: 血 (đọc là ち, nghĩa là: Máu) | C: 感動 (đọc là かんどう, nghĩa là: Cảm động, ấn tượng) | D: お皿 (đọc là おさら, nghĩa là: Chiếc đĩa). => Đáp án đúng là B vì từ 'ち' được viết bằng Kanji là 「血」.",血が出る (Chảy máu)
4,Từ nào dưới đây có nghĩa là: 「Biết」?,動物,不動産,知ります,力,C,A: 動物 (どうぶつ - Động vật) | B: 不動産 (ふどうさん - Bất động sản) | C: 知ります (しります - Biết) | D: 力 (ちから - Sức mạnh). => Đáp án đúng là C vì 'Biết' trong tiếng Nhật là 「知ります」.,そのニュースを知ります (Biết tin đó)
5,Cách đọc của chữ 「協力」 là gì?,みじかい,どうぶつ,ちから,きょうりょく,D,"A: みじかい (nghĩa là: Ngắn) | B: どうぶつ (nghĩa là: Động vật) | C: ちから (nghĩa là: Sức mạnh) | D: きょうりょく (nghĩa là: Hợp tác, hiệp lực). => Đáp án đúng là D vì chữ 「協力」 đọc là 'きょうりょく'.",ご協力お願いします (Rất mong nhận được sự hợp tác)
6,Từ nào dưới đây có nghĩa là: 「Nha sĩ」?,血,お皿,歯医者,医学,C,A: 血 (ち - Máu) | B: お皿 (おさら - Chiếc đĩa) | C: 歯医者 (はいしゃ - Nha sĩ) | D: 医学 (いがく - Y học). => Đáp án đúng là C vì 'Nha sĩ' trong tiếng Nhật là 「歯医者」.,歯医者に行く (Đi nha sĩ)
7,Cách đọc của chữ 「知り合い」 là gì?,ち,しります,いしゃ,しりあい,D,A: ち (nghĩa là: Máu) | B: しります (nghĩa là: Biết) | C: いしゃ (nghĩa là: Bác sĩ) | D: しりあい (nghĩa là: Người quen). => Đáp án đúng là D vì chữ 「知り合い」 đọc là 'しりあい'.,知り合いに会う (Gặp người quen)
8,Cách đọc của chữ 「短い」 là gì?,みじかい,しります,おさら,たんき,A,"A: みじかい (nghĩa là: Ngắn) | B: しります (nghĩa là: Biết) | C: おさら (nghĩa là: Chiếc đĩa) | D: たんき (nghĩa là: Nóng nảy, dễ nổi nóng). => Đáp án đúng là A vì chữ 「短い」 đọc là 'みじかい'.",短い髪 (Tóc ngắn)
9,Cách đọc của chữ 「動画」 là gì?,いがく,たんき,どうが,しょうち,C,"A: いがく (nghĩa là: Y học) | B: たんき (nghĩa là: Nóng nảy, dễ nổi nóng) | C: どうが (nghĩa là: Video, clip) | D: しょうち (nghĩa là: Đồng ý, hiểu rõ). => Đáp án đúng là C vì chữ 「動画」 đọc là 'どうが'.",動画を見る (Xem video)
10,Từ 「どうぶつ」 được viết bằng chữ Kanji nào?,承知,医学,動物,動きます,C,"A: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ) | B: 医学 (đọc là いがく, nghĩa là: Y học) | C: 動物 (đọc là どうぶつ, nghĩa là: Động vật) | D: 動きます (đọc là うごきます, nghĩa là: Cử động, chuyển động). => Đáp án đúng là C vì từ 'どうぶつ' được viết bằng Kanji là 「動物」.",動物園 (Sở thú)
11,Cách đọc của chữ 「力」 là gì?,はたらきます,ちから,うごきます,うんどうします,B,"A: はたらきます (nghĩa là: Làm việc) | B: ちから (nghĩa là: Sức mạnh) | C: うごきます (nghĩa là: Cử động, chuyển động) | D: うんどうします (nghĩa là: Vận động, thể dục). => Đáp án đúng là B vì chữ 「力」 đọc là 'ちから'.",力仕事 (Công việc cần sức lực)
12,Từ nào dưới đây có nghĩa là: 「Người quen」?,短気,知ります,知り合い,動物,C,"A: 短気 (たんき - Nóng nảy, dễ nổi nóng) | B: 知ります (しります - Biết) | C: 知り合い (しりあい - Người quen) | D: 動物 (どうぶつ - Động vật). => Đáp án đúng là C vì 'Người quen' trong tiếng Nhật là 「知り合い」.",知り合いに会う (Gặp người quen)
13,Cách đọc của chữ 「短気」 là gì?,うんどうします,たんき,ちから,しょうち,B,"A: うんどうします (nghĩa là: Vận động, thể dục) | B: たんき (nghĩa là: Nóng nảy, dễ nổi nóng) | C: ちから (nghĩa là: Sức mạnh) | D: しょうち (nghĩa là: Đồng ý, hiểu rõ). => Đáp án đúng là B vì chữ 「短気」 đọc là 'たんき'.",短気な人 (Người nóng tính)
14,Từ 「いがく」 được viết bằng chữ Kanji nào?,医者,医学,お知らせ,承知,B,"A: 医者 (đọc là いしゃ, nghĩa là: Bác sĩ) | B: 医学 (đọc là いがく, nghĩa là: Y học) | C: お知らせ (đọc là おしらせ, nghĩa là: Thông báo) | D: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ). => Đáp án đúng là B vì từ 'いがく' được viết bằng Kanji là 「医学」.",医学を勉強する (Học y khoa)
15,Từ 「うんどうします」 được viết bằng chữ Kanji nào?,運動します,医者,働きます,動きます,A,"A: 運動します (đọc là うんどうします, nghĩa là: Vận động, thể dục) | B: 医者 (đọc là いしゃ, nghĩa là: Bác sĩ) | C: 働きます (đọc là はたらきます, nghĩa là: Làm việc) | D: 動きます (đọc là うごきます, nghĩa là: Cử động, chuyển động). => Đáp án đúng là A vì từ 'うんどうします' được viết bằng Kanji là 「運動します」.",毎日運動します (Vận động mỗi ngày)
16,Từ nào dưới đây có nghĩa là: 「Thông báo」?,感動,お知らせ,承知,知ります,B,"A: 感動 (かんどう - Cảm động, ấn tượng) | B: お知らせ (おしらせ - Thông báo) | C: 承知 (しょうち - Đồng ý, hiểu rõ) | D: 知ります (しります - Biết). => Đáp án đúng là B vì 'Thông báo' trong tiếng Nhật là 「お知らせ」.",大切なお知らせ (Thông báo quan trọng)
17,Từ nào dưới đây có nghĩa là: 「Tự động」?,医者,不動産,自動,医学,C,A: 医者 (いしゃ - Bác sĩ) | B: 不動産 (ふどうさん - Bất động sản) | C: 自動 (じどう - Tự động) | D: 医学 (いがく - Y học). => Đáp án đúng là C vì 'Tự động' trong tiếng Nhật là 「自動」.,自動ドア (Cửa tự động)
18,Từ 「はいしゃ」 được viết bằng chữ Kanji nào?,感動,短い,働きます,歯医者,D,"A: 感動 (đọc là かんどう, nghĩa là: Cảm động, ấn tượng) | B: 短い (đọc là みじかい, nghĩa là: Ngắn) | C: 働きます (đọc là はたらきます, nghĩa là: Làm việc) | D: 歯医者 (đọc là はいしゃ, nghĩa là: Nha sĩ). => Đáp án đúng là D vì từ 'はいしゃ' được viết bằng Kanji là 「歯医者」.",歯医者に行く (Đi nha sĩ)
19,Từ nào dưới đây có nghĩa là: 「Máu」?,動きます,短気,知り合い,血,D,"A: 動きます (うごきます - Cử động, chuyển động) | B: 短気 (たんき - Nóng nảy, dễ nổi nóng) | C: 知り合い (しりあい - Người quen) | D: 血 (ち - Máu). => Đáp án đúng là D vì 'Máu' trong tiếng Nhật là 「血」.",血が出る (Chảy máu)
20,Từ nào dưới đây có nghĩa là: 「Chiếc đĩa」?,血,動画,働きます,お皿,D,"A: 血 (ち - Máu) | B: 動画 (どうが - Video, clip) | C: 働きます (はたらきます - Làm việc) | D: お皿 (おさら - Chiếc đĩa). => Đáp án đúng là D vì 'Chiếc đĩa' trong tiếng Nhật là 「お皿」.",お皿を洗う (Rửa đĩa)
21,Cách đọc của chữ 「動きます」 là gì?,いしゃ,おさら,うごきます,はたらきます,C,"A: いしゃ (nghĩa là: Bác sĩ) | B: おさら (nghĩa là: Chiếc đĩa) | C: うごきます (nghĩa là: Cử động, chuyển động) | D: はたらきます (nghĩa là: Làm việc). => Đáp án đúng là C vì chữ 「動きます」 đọc là 'うごきます'.",時計が動きます (Đồng hồ chạy)
22,Từ 「じどう」 được viết bằng chữ Kanji nào?,医学,不動産,承知,自動,D,"A: 医学 (đọc là いがく, nghĩa là: Y học) | B: 不動産 (đọc là ふどうさん, nghĩa là: Bất động sản) | C: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ) | D: 自動 (đọc là じどう, nghĩa là: Tự động). => Đáp án đúng là D vì từ 'じどう' được viết bằng Kanji là 「自動」.",自動ドア (Cửa tự động)
23,Cách đọc của chữ 「医者」 là gì?,おさら,ちから,いしゃ,しります,C,A: おさら (nghĩa là: Chiếc đĩa) | B: ちから (nghĩa là: Sức mạnh) | C: いしゃ (nghĩa là: Bác sĩ) | D: しります (nghĩa là: Biết). => Đáp án đúng là C vì chữ 「医者」 đọc là 'いしゃ'.,医者になる (Trở thành bác sĩ)
24,Từ 「しょうち」 được viết bằng chữ Kanji nào?,働きます,動きます,お知らせ,承知,D,"A: 働きます (đọc là はたらきます, nghĩa là: Làm việc) | B: 動きます (đọc là うごきます, nghĩa là: Cử động, chuyển động) | C: お知らせ (đọc là おしらせ, nghĩa là: Thông báo) | D: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ). => Đáp án đúng là D vì từ 'しょうち' được viết bằng Kanji là 「承知」.",承知いたしました (Tôi đã hiểu rõ rồi ạ)
25,"Từ nào dưới đây có nghĩa là: 「Cảm động, ấn tượng」?",感動,自動,医学,知ります,A,"A: 感動 (かんどう - Cảm động, ấn tượng) | B: 自動 (じどう - Tự động) | C: 医学 (いがく - Y học) | D: 知ります (しります - Biết). => Đáp án đúng là A vì 'Cảm động, ấn tượng' trong tiếng Nhật là 「感動」.",映画を見て感動した (Xem phim và thấy cảm động)
26,Từ 「かんどう」 được viết bằng chữ Kanji nào?,動きます,知り合い,不動産,感動,D,"A: 動きます (đọc là うごきます, nghĩa là: Cử động, chuyển động) | B: 知り合い (đọc là しりあい, nghĩa là: Người quen) | C: 不動産 (đọc là ふどうさん, nghĩa là: Bất động sản) | D: 感動 (đọc là かんどう, nghĩa là: Cảm động, ấn tượng). => Đáp án đúng là D vì từ 'かんどう' được viết bằng Kanji là 「感動」.",映画を見て感動した (Xem phim và thấy cảm động)
27,Từ nào dưới đây có nghĩa là: 「Bất động sản」?,不動産,短気,力,知り合い,A,"A: 不動産 (ふどうさん - Bất động sản) | B: 短気 (たんき - Nóng nảy, dễ nổi nóng) | C: 力 (ちから - Sức mạnh) | D: 知り合い (しりあい - Người quen). => Đáp án đúng là A vì 'Bất động sản' trong tiếng Nhật là 「不動産」.",不動産屋 (Công ty bất động sản)
28,Từ 「しりあい」 được viết bằng chữ Kanji nào?,知り合い,短気,お知らせ,血,A,"A: 知り合い (đọc là しりあい, nghĩa là: Người quen) | B: 短気 (đọc là たんき, nghĩa là: Nóng nảy, dễ nổi nóng) | C: お知らせ (đọc là おしらせ, nghĩa là: Thông báo) | D: 血 (đọc là ち, nghĩa là: Máu). => Đáp án đúng là A vì từ 'しりあい' được viết bằng Kanji là 「知り合い」.",知り合いに会う (Gặp người quen)
29,Từ 「ちから」 được viết bằng chữ Kanji nào?,医学,力,動きます,承知,B,"A: 医学 (đọc là いがく, nghĩa là: Y học) | B: 力 (đọc là ちから, nghĩa là: Sức mạnh) | C: 動きます (đọc là うごきます, nghĩa là: Cử động, chuyển động) | D: 承知 (đọc là しょうち, nghĩa là: Đồng ý, hiểu rõ). => Đáp án đúng là B vì từ 'ちから' được viết bằng Kanji là 「力」.",力仕事 (Công việc cần sức lực)
30,"Từ nào dưới đây có nghĩa là: 「Video, clip」?",働きます,短い,お皿,動画,D,"A: 働きます (はたらきます - Làm việc) | B: 短い (みじかい - Ngắn) | C: お皿 (おさら - Chiếc đĩa) | D: 動画 (どうが - Video, clip). => Đáp án đúng là D vì 'Video, clip' trong tiếng Nhật là 「動画」.",動画を見る (Xem video)
31,Cách đọc của chữ 「動物」 là gì?,しりあい,うごきます,はいしゃ,どうぶつ,D,"A: しりあい (nghĩa là: Người quen) | B: うごきます (nghĩa là: Cử động, chuyển động) | C: はいしゃ (nghĩa là: Nha sĩ) | D: どうぶつ (nghĩa là: Động vật). => Đáp án đúng là D vì chữ 「動物」 đọc là 'どうぶつ'.",動物園 (Sở thú)
32,Từ 「きょうりょく」 được viết bằng chữ Kanji nào?,運動します,力,協力,お知らせ,C,"A: 運動します (đọc là うんどうします, nghĩa là: Vận động, thể dục) | B: 力 (đọc là ちから, nghĩa là: Sức mạnh) | C: 協力 (đọc là きょうりょく, nghĩa là: Hợp tác, hiệp lực) | D: お知らせ (đọc là おしらせ, nghĩa là: Thông báo). => Đáp án đúng là C vì từ 'きょうりょく' được viết bằng Kanji là 「協力」.",ご協力お願いします (Rất mong nhận được sự hợp tác)
