ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Từ nào dưới đây có nghĩa là: 「Sách hướng dẫn」?,工場,説明書,池,性格,B,A: 工場 (こうじょう - Nhà máy) | B: 説明書 (せつめいしょ - Sách hướng dẫn) | C: 池 (いけ - Ao) | D: 性格 (せいかく - Tính cách). => Đáp án đúng là B vì 'Sách hướng dẫn' tiếng Nhật là 「説明書」.,
2,"Từ nào dưới đây có nghĩa là: 「Nam giới, đàn ông」?",説明書,空港,男性,思い出します,C,"A: 説明書 (せつめいしょ - Sách hướng dẫn) | B: 空港 (くうこう - Sân bay) | C: 男性 (だんせい - Nam giới, đàn ông) | D: 思い出します (おもいだします - Nhớ ra). => Đáp án đúng là C vì 'Nam giới, đàn ông' tiếng Nhật là 「男性」.",
3,Cách đọc của chữ 「性格」 là gì?,せいかく,しあい,でんち,じょせい,A,"A: せいかく (Tính cách) | B: しあい (Trận thi đấu) | C: でんち (Cục pin) | D: じょせい (Nữ giới, phụ nữ). => Đáp án đúng là A vì chữ 「性格」 đọc là 'せいかく'.",
4,Từ nào dưới đây có nghĩa là: 「Buổi hướng dẫn / giải thích」?,思います,性格,説明会,計画,C,"A: 思います (おもいます - Nghĩ, cảm thấy) | B: 性格 (せいかく - Tính cách) | C: 説明会 (せつめいかい - Buổi hướng dẫn / giải thích) | D: 計画 (けいかく - Kế hoạch). => Đáp án đúng là C vì 'Buổi hướng dẫn / giải thích' tiếng Nhật là 「説明会」.",
5,Cách đọc của chữ 「地下鉄」 là gì?,くうき,ちかてつ,こうじょう,うでどけい,B,A: くうき (Không khí) | B: ちかてつ (Tàu điện ngầm) | C: こうじょう (Nhà máy) | D: うでどけい (Đồng hồ đeo tay). => Đáp án đúng là B vì chữ 「地下鉄」 đọc là 'ちかてつ'.,
6,Cách đọc của chữ 「池」 là gì?,ちかてつ,いけ,しけん,あんしんします,B,"A: ちかてつ (Tàu điện ngầm) | B: いけ (Ao) | C: しけん (Kỳ thi) | D: あんしんします (Yên tâm, an tâm). => Đáp án đúng là B vì chữ 「池」 đọc là 'いけ'.",
7,Từ 「そら」 được viết bằng chữ Kanji nào?,地面,試験,空,計画,C,A: 地面 (じめん - Mặt đất) | B: 試験 (しけん - Kỳ thi) | C: 空 (そら - Bầu trời) | D: 計画 (けいかく - Kế hoạch). => Đáp án đúng là C vì từ 'そら' được viết là 「空」.,
8,Từ nào dưới đây có nghĩa là: 「Bản đồ」?,小説,地図,性格,心配します,B,A: 小説 (しょうせつ - Tiểu thuyết) | B: 地図 (ちず - Bản đồ) | C: 性格 (せいかく - Tính cách) | D: 心配します (しんぱいします - Lo lắng). => Đáp án đúng là B vì 'Bản đồ' tiếng Nhật là 「地図」.,
9,"Từ nào dưới đây có nghĩa là: 「Nữ giới, phụ nữ」?",女性,工事,性格,地下鉄,A,"A: 女性 (じょせい - Nữ giới, phụ nữ) | B: 工事 (こうじ - Thi công, công trình) | C: 性格 (せいかく - Tính cách) | D: 地下鉄 (ちかてつ - Tàu điện ngầm). => Đáp án đúng là A vì 'Nữ giới, phụ nữ' tiếng Nhật là 「女性」.",
10,Cách đọc của chữ 「男性」 là gì?,おもいだします,ふしぎ,だんせい,せつめいかい,C,"A: おもいだします (Nhớ ra) | B: ふしぎ (Kì lạ, khó hiểu) | C: だんせい (Nam giới, đàn ông) | D: せつめいかい (Buổi hướng dẫn / giải thích). => Đáp án đúng là C vì chữ 「男性」 đọc là 'だんせい'.",
11,Từ nào dưới đây có nghĩa là: 「Mặt đất」?,地面,計算,計画,空気,A,A: 地面 (じめん - Mặt đất) | B: 計算 (けいさん - Tính toán) | C: 計画 (けいかく - Kế hoạch) | D: 空気 (くうき - Không khí). => Đáp án đúng là A vì 'Mặt đất' tiếng Nhật là 「地面」.,
12,Cách đọc của chữ 「心配します」 là gì?,しょうせつ,しんぱいします,せつめいしょ,けいさん,B,A: しょうせつ (Tiểu thuyết) | B: しんぱいします (Lo lắng) | C: せつめいしょ (Sách hướng dẫn) | D: けいさん (Tính toán). => Đáp án đúng là B vì chữ 「心配します」 đọc là 'しんぱいします'.,
13,Cách đọc của chữ 「時計」 là gì?,じしん,とけい,くうこう,だんせい,B,"A: じしん (Động đất) | B: とけい (Đồng hồ) | C: くうこう (Sân bay) | D: だんせい (Nam giới, đàn ông). => Đáp án đúng là B vì chữ 「時計」 đọc là 'とけい'.",
14,Cách đọc của chữ 「計算」 là gì?,しんぱいします,でんち,けいさん,じめん,C,A: しんぱいします (Lo lắng) | B: でんち (Cục pin) | C: けいさん (Tính toán) | D: じめん (Mặt đất). => Đáp án đúng là C vì chữ 「計算」 đọc là 'けいさん'.,
