ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Từ 「けしき」 được viết bằng chữ Kanji nào?,茶色,油,決まります,景色,D,A: 茶色 (ちゃいろ - Màu nâu) | B: 油 (あぶら - Dầu) | C: 決まります (きまります - (cái gì đó) Được quyết định) | D: 景色 (けしき - Phong cảnh). => Đáp án đúng là D vì từ 'けしき' được viết là 「景色」.,
2,Cách đọc của chữ 「風邪」 là gì?,つよい,ばんごはん,はつめい,かぜ,D,A: つよい (Mạnh) | B: ばんごはん (Cơm tối) | C: はつめい (Phát minh) | D: かぜ (Cảm cúm). => Đáp án đúng là D vì chữ 「風邪」 đọc là 'かぜ'.,
3,Cách đọc của chữ 「虫」 là gì?,むし,せきゆ,ばんごはん,かぜ,A,"A: むし (Côn trùng, con sâu) | B: せきゆ (Dầu mỏ) | C: ばんごはん (Cơm tối) | D: かぜ (Cảm cúm). => Đáp án đúng là A vì chữ 「虫」 đọc là 'むし'.",
4,Cách đọc của chữ 「毎晩」 là gì?,こんばん,いろ,べんきょう,まいばん,D,"A: こんばん (Tối nay) | B: いろ (Màu sắc) | C: べんきょう (Học tập) | D: まいばん (Hàng tối, mỗi tối). => Đáp án đúng là D vì chữ 「毎晩」 đọc là 'まいばん'.",
5,Từ nào dưới đây có nghĩa là: 「Cơm tối」?,茶色,景色,晩ご飯,勉強,C,A: 茶色 (ちゃいろ - Màu nâu) | B: 景色 (けしき - Phong cảnh) | C: 晩ご飯 (ばんごはん - Cơm tối) | D: 勉強 (べんきょう - Học tập). => Đáp án đúng là C vì 'Cơm tối' tiếng Nhật là 「晩ご飯」.,
6,Từ 「きめます」 được viết bằng chữ Kanji nào?,決まります,今晩,決めます,発見,C,"A: 決まります (きまります - (cái gì đó) Được quyết định) | B: 今晩 (こんばん - Tối nay) | C: 決めます (きめます - Quyết định (cái gì đó)) | D: 発見 (はっけん - Phát kiến, phát hiện). => Đáp án đúng là C vì từ 'きめます' được viết là 「決めます」.",
7,Cách đọc của chữ 「石油」 là gì?,つよい,せきゆ,いろ,たいふう,B,A: つよい (Mạnh) | B: せきゆ (Dầu mỏ) | C: いろ (Màu sắc) | D: たいふう (Bão). => Đáp án đúng là B vì chữ 「石油」 đọc là 'せきゆ'.,
8,Từ 「まいばん」 được viết bằng chữ Kanji nào?,黄色い,発音,台風,毎晩,D,"A: 黄色い (きいろい - Vàng) | B: 発音 (はつおん - Phát âm) | C: 台風 (たいふう - Bão) | D: 毎晩 (まいばん - Hàng tối, mỗi tối). => Đáp án đúng là D vì từ 'まいばん' được viết là 「毎晩」.",
9,Từ nào dưới đây có nghĩa là: 「Dầu mỏ」?,石油,決めます,勉強,毎晩,A,"A: 石油 (せきゆ - Dầu mỏ) | B: 決めます (きめます - Quyết định (cái gì đó)) | C: 勉強 (べんきょう - Học tập) | D: 毎晩 (まいばん - Hàng tối, mỗi tối). => Đáp án đúng là A vì 'Dầu mỏ' tiếng Nhật là 「石油」.",
10,Từ 「きいろ」 được viết bằng chữ Kanji nào?,発見,石油,黄色,勉強,C,"A: 発見 (はっけん - Phát kiến, phát hiện) | B: 石油 (せきゆ - Dầu mỏ) | C: 黄色 (きいろ - Màu vàng) | D: 勉強 (べんきょう - Học tập). => Đáp án đúng là C vì từ 'きいろ' được viết là 「黄色」.",
